sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,target
1,0.675,0.51,0.195,1.382,0.6045,0.3175,0.3965,10.0
1,0.575,0.47,0.155,1.1159999999999999,0.509,0.23800000000000002,0.34,10.0
0,0.57,0.46,0.155,1.0005,0.45399999999999996,0.205,0.265,11.0
0,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12.0
2,0.62,0.485,0.18,1.1540000000000001,0.4935,0.256,0.315,12.0
2,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13.0
0,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13.0
0,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11.0
2,0.455,0.33,0.1,0.3720000000000001,0.358,0.0775,0.11,8.0
2,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5.0
1,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10.0
0,0.705,0.565,0.515,2.21,1.1075,0.4865,0.512,10.0
2,0.465,0.36,0.105,0.498,0.214,0.11599999999999999,0.14,15.0
0,0.56,0.425,0.135,0.8490000000000001,0.3265,0.221,0.2645,10.0
1,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10.0
0,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03,6.0
0,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,12.0
2,0.515,0.4,0.12,0.659,0.2705,0.179,0.17,13.0
2,0.45,0.33,0.1,0.41100000000000003,0.1945,0.1,0.098,6.0
2,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9.0
0,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,10.0
2,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7.0
2,0.29,0.225,0.07,0.10099999999999999,0.036000000000000004,0.0235,0.035,8.0
1,0.68,0.58,0.2,1.787,0.585,0.45299999999999996,0.6,19.0
0,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10.0
0,0.685,0.55,0.2,1.7725,0.813,0.387,0.49,11.0
0,0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10.0
0,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11.0
1,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9.0
0,0.565,0.435,0.185,0.9815,0.32899999999999996,0.136,0.39,13.0
0,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,7.0
2,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9.0
2,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16,10.0
1,0.58,0.45,0.195,0.8265,0.4035,0.17300000000000001,0.225,9.0
1,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8.0
1,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12.0
1,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11.0
1,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13.0
2,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7.0
0,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8.0
2,0.45,0.345,0.135,0.44299999999999995,0.1975,0.0875,0.1175,14.0
2,0.35,0.26,0.095,0.21100000000000002,0.086,0.055999999999999994,0.068,7.0
1,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8.0
2,0.575,0.45,0.135,0.8715,0.45,0.162,0.225,10.0
2,0.455,0.345,0.105,0.4005,0.16399999999999998,0.0755,0.126,8.0
1,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10.0
2,0.57,0.44,0.15,0.755,0.3425,0.16,0.22399999999999998,8.0
2,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,6.0
0,0.62,0.515,0.175,1.2209999999999999,0.535,0.24100000000000002,0.395,13.0
2,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3.0
1,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10.0
1,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10.0
2,0.47,0.38,0.125,0.4845,0.21100000000000002,0.1075,0.142,6.0
0,0.615,0.495,0.2,1.219,0.564,0.22699999999999998,0.3885,10.0
0,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13.0
2,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6.0
1,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12.0
2,0.435,0.325,0.11,0.3670000000000001,0.1595,0.08,0.105,6.0
2,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5.0
0,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7.0
0,0.605,0.49,0.14,0.9755,0.419,0.20600000000000002,0.315,10.0
1,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7.0
2,0.525,0.4,0.14,0.654,0.305,0.16,0.16899999999999998,7.0
1,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9.0
2,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7.0
0,0.45,0.335,0.125,0.349,0.11900000000000001,0.1055,0.115,10.0
0,0.48,0.365,0.12,0.6015,0.312,0.11699999999999999,0.14,7.0
1,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17.0
0,0.27,0.195,0.07,0.106,0.0465,0.018000000000000002,0.036000000000000004,7.0
0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14.0
0,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11.0
2,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7.0
0,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9.0
1,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14.0
0,0.59,0.44,0.15,0.8725,0.387,0.215,0.245,8.0
0,0.6,0.475,0.15,0.99,0.386,0.2195,0.3105,10.0
1,0.55,0.405,0.125,0.6509999999999999,0.2965,0.13699999999999998,0.2,9.0
2,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8.0
2,0.345,0.255,0.085,0.2005,0.105,0.037000000000000005,0.05,5.0
2,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9.0
0,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6.0
2,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8.0
0,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10.0
2,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9.0
0,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13.0
0,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11.0
0,0.645,0.525,0.16,1.5075,0.7455,0.245,0.4325,11.0
2,0.335,0.255,0.08,0.168,0.079,0.0355,0.05,5.0
0,0.665,0.525,0.18,1.429,0.6715,0.29,0.4,12.0
0,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7.0
0,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10.0
2,0.35,0.25,0.07,0.18,0.0655,0.048,0.054000000000000006,6.0
2,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10.0
0,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12.0
0,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26.0
0,0.595,0.475,0.165,1.213,0.621,0.2435,0.27399999999999997,9.0
2,0.565,0.42,0.155,0.743,0.31,0.18600000000000005,0.231,9.0
2,0.555,0.395,0.13,0.5585,0.222,0.1245,0.17,9.0
0,0.475,0.375,0.125,0.593,0.27699999999999997,0.115,0.18,10.0
0,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7.0
2,0.295,0.215,0.085,0.128,0.049,0.034,0.04,6.0
0,0.445,0.345,0.09,0.3795,0.14300000000000002,0.07400000000000001,0.125,10.0
1,0.66,0.53,0.185,1.3459999999999999,0.546,0.2705,0.47600000000000003,11.0
0,0.535,0.435,0.14,0.8740000000000001,0.3735,0.22899999999999998,0.2195,8.0
2,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11.0
2,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6.0
2,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9.0
0,0.665,0.535,0.195,1.6059999999999999,0.5755,0.38799999999999996,0.48,14.0
1,0.53,0.425,0.17,0.9490000000000001,0.3485,0.2395,0.278,17.0
2,0.425,0.34,0.1,0.382,0.16399999999999998,0.096,0.1,6.0
1,0.62,0.47,0.14,1.0325,0.3605,0.22399999999999998,0.36,15.0
1,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9.0
2,0.53,0.43,0.13,0.7045,0.34600000000000003,0.1415,0.18899999999999997,9.0
1,0.625,0.485,0.175,1.3619999999999999,0.6765,0.2615,0.3705,10.0
2,0.325,0.25,0.08,0.17600000000000002,0.0595,0.0355,0.063,7.0
0,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14.0
0,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9.0
2,0.255,0.19,0.06,0.086,0.04,0.0185,0.025,5.0
2,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,11.0
0,0.69,0.55,0.2,1.8465,0.732,0.47200000000000003,0.57,19.0
0,0.48,0.36,0.1,0.439,0.19399999999999998,0.099,0.115,8.0
1,0.7,0.535,0.175,1.7730000000000001,0.6805,0.48,0.512,15.0
1,0.6,0.47,0.19,1.1345,0.4920000000000001,0.2595,0.3375,10.0
1,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,8.0
1,0.615,0.525,0.155,1.0385,0.4270000000000001,0.2315,0.345,11.0
1,0.595,0.435,0.15,0.9,0.4175,0.17,0.265,8.0
0,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15.0
2,0.455,0.355,0.08,0.452,0.2165,0.0995,0.125,9.0
