target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
74,0.006836,0.00293,0.000977,0.057616999999999995,0.0,0.0058590000000000005,0.00293,0.0,0.016602000000000002,0.10937999999999999,0.0,0.0,0.008789,0.014648,0.0,0.0,0.00293,0.0,0.044922000000000004,0.000977,0.0,0.0,0.000977,0.020508000000000002,0.037108999999999996,0.009766,0.000977,0.0,0.008789,0.003906,0.007812,0.0,0.26074,0.0,0.003906,0.0,0.10059,0.000977,0.022461000000000002,0.07714800000000001,0.041016000000000004,0.003906,0.007812,0.0,0.00293,0.0,0.003906,0.0,0.018555000000000002,0.007812,0.0,0.0,0.015625,0.017578,0.0,0.0,0.003906,0.000977,0.009766,0.001953,0.0,0.001953,0.023438,0.007812
37,0.007812,0.001953,0.010742,0.004883,0.085938,0.000977,0.016602000000000002,0.024413999999999998,0.00293,0.0,0.0,0.000977,0.009766,0.003906,0.000977,0.006836,0.0,0.0,0.007812,0.004883,0.000977,0.015625,0.029297000000000004,0.001953,0.001953,0.0,0.026367,0.009766,0.03418,0.008789,0.032227,0.007812,0.0,0.053711,0.007812,0.0,0.000977,0.061523,0.006836,0.007812,0.000977,0.001953,0.017578,0.036133,0.052734,0.081055,0.03418,0.013672,0.0058590000000000005,0.03418,0.000977,0.015625,0.0,0.015625,0.09668,0.0,0.036133,0.0,0.016602000000000002,0.00293,0.0058590000000000005,0.001953,0.004883,0.025391
42,0.021484,0.022461000000000002,0.017578,0.006836,0.00293,0.030273,0.008789,0.032227,0.044922000000000004,0.0058590000000000005,0.0,0.0,0.03418,0.040039,0.0,0.0,0.010742,0.0058590000000000005,0.004883,0.025391,0.0,0.009766,0.016602000000000002,0.0,0.011719,0.0,0.027344,0.008789,0.0625,0.028319999999999998,0.030273,0.0,0.0,0.006836,0.021484,0.0,0.0,0.016602000000000002,0.023438,0.008789,0.006836,0.011719,0.045898,0.020508000000000002,0.016602000000000002,0.007812,0.057616999999999995,0.0,0.019531,0.064453,0.0,0.0,0.00293,0.0058590000000000005,0.0,0.0,0.021484,0.0,0.040039,0.0,0.0,0.0,0.037108999999999996,0.054688
62,0.020508000000000002,0.009766,0.012695,0.014648,0.0,0.09277300000000001,0.032227,0.004883,0.0,0.042969,0.0,0.0,0.10742,0.0,0.0,0.0,0.00293,0.024413999999999998,0.009766,0.007812,0.0,0.0,0.009766,0.009766,0.045898,0.0,0.039062,0.009766,0.0,0.041016000000000004,0.001953,0.0,0.000977,0.004883,0.035156,0.0,0.0,0.021484,0.0625,0.030273,0.038086,0.0058590000000000005,0.027344,0.010742,0.064453,0.010742,0.003906,0.0,0.0,0.0,0.0,0.0,0.0,0.000977,0.0,0.0,0.061523,0.0,0.001953,0.0,0.0,0.0,0.043945,0.035156
72,0.003906,0.00293,0.03125,0.003906,0.016602000000000002,0.008789,0.010742,0.015625,0.003906,0.004883,0.010742,0.0058590000000000005,0.037108999999999996,0.051758000000000005,0.0,0.023438,0.0,0.00293,0.000977,0.021484,0.053711,0.033202999999999996,0.00293,0.0,0.009766,0.000977,0.001953,0.044922000000000004,0.028319999999999998,0.038086,0.012695,0.029297000000000004,0.0,0.0058590000000000005,0.047852,0.064453,0.0,0.014648,0.004883,0.00293,0.000977,0.032227,0.00293,0.0,0.001953,0.018555000000000002,0.013672,0.06347699999999999,0.043945,0.041992,0.0,0.064453,0.000977,0.000977,0.001953,0.0,0.013672,0.0,0.013672,0.0,0.012695,0.00293,0.009766,0.0058590000000000005
18,0.0,0.0,0.0,0.032227,0.0,0.000977,0.0,0.0,0.006836,0.027344,0.030273,0.0,0.000977,0.006836,0.006836,0.0,0.0,0.0,0.010742,0.0,0.0,0.003906,0.0,0.007812,0.000977,0.07421900000000001,0.000977,0.0,0.003906,0.0,0.0058590000000000005,0.0,0.32227,0.0,0.0,0.0,0.17773,0.0,0.0,0.006836,0.07421900000000001,0.0,0.006836,0.007812,0.0,0.0,0.001953,0.0,0.003906,0.006836,0.008789,0.0,0.057616999999999995,0.003906,0.0,0.0,0.0,0.030273,0.00293,0.018555000000000002,0.0,0.048827999999999996,0.0,0.0
4,0.009766,0.015625,0.000977,0.03418,0.0,0.010742,0.018555000000000002,0.006836,0.070312,0.091797,0.008789,0.0,0.00293,0.021484,0.0,0.0,0.010742,0.0,0.071289,0.016602000000000002,0.0,0.0058590000000000005,0.003906,0.012695,0.012695,0.055664,0.014648,0.0,0.048827999999999996,0.007812,0.042969,0.0,0.027344,0.001953,0.00293,0.0,0.012695,0.007812,0.024413999999999998,0.049805,0.016602000000000002,0.0,0.014648,0.004883,0.001953,0.001953,0.024413999999999998,0.0,0.014648,0.036133,0.0,0.0,0.024413999999999998,0.047852,0.0,0.0,0.000977,0.004883,0.045898,0.0,0.0,0.018555000000000002,0.0,0.019531
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06347699999999999,0.0,0.0,0.0,0.43359,0.0,0.006836,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,0.0,0.011719,0.0,0.0,0.006836,0.0,0.003906,0.0,0.0,0.0,0.0,0.0,0.001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953,0.070312,0.0,0.000977,0.0,0.0,0.012695,0.0,0.028319999999999998,0.0,0.26465,0.0,0.09082,0.0,0.0
38,0.000977,0.024413999999999998,0.029297000000000004,0.0,0.15039,0.009766,0.0,0.073242,0.00293,0.0,0.0,0.010742,0.004883,0.0,0.0,0.0,0.06347699999999999,0.037108999999999996,0.0,0.03418,0.0,0.0,0.003906,0.0,0.0,0.0,0.0,0.06347699999999999,0.0,0.026367,0.0,0.0,0.0,0.076172,0.03418,0.0,0.0,0.071289,0.0,0.0,0.0,0.0,0.0,0.000977,0.008789,0.078125,0.000977,0.048827999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.095703,0.0,0.043945,0.0,0.001953,0.0,0.0,0.0,0.0,0.003906
92,0.0,0.0,0.0,0.0,0.0,0.00293,0.0,0.0,0.026367,0.0,0.029297000000000004,0.0,0.000977,0.045898,0.001953,0.000977,0.00293,0.0,0.000977,0.0,0.0,0.064453,0.0,0.013672,0.0,0.083984,0.0,0.0,0.16016,0.0,0.045898,0.0,0.0,0.0,0.0,0.0,0.000977,0.0,0.0,0.0,0.0,0.004883,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.22851999999999997,0.00293,0.0,0.029297000000000004,0.029297000000000004,0.0,0.0,0.0,0.12598,0.021484,0.000977,0.0,0.029297000000000004,0.014648,0.0
