image,target
n02085936_500.jpg,label_0
n02085936_16014.jpg,label_0
n02085936_24464.jpg,label_0
n02085936_1244.jpg,label_0
n02085936_4506.jpg,label_0
n02085936_9590.jpg,label_0
n02085936_548.jpg,label_0
n02085936_9812.jpg,label_0
n02085936_5404.jpg,label_0
n02085936_10719.jpg,label_0
n02085936_13013.jpg,label_0
n02085936_137.jpg,label_0
n02085936_5488.jpg,label_0
n02097658_9222.jpg,label_1
n02097658_1797.jpg,label_1
n02097658_8767.jpg,label_1
n02097658_1227.jpg,label_1
n02097658_2054.jpg,label_1
n02097658_8690.jpg,label_1
n02097658_8323.jpg,label_1
n02097658_980.jpg,label_1
n02097658_942.jpg,label_1
