sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,target
1,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,15.0
2,0.3,0.23,0.085,0.11699999999999999,0.05,0.0175,0.0415,6.0
2,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9.0
1,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11.0
1,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18.0
1,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11.0
0,0.585,0.45,0.18,0.7995,0.336,0.1855,0.237,8.0
1,0.59,0.455,0.175,0.966,0.391,0.2455,0.31,10.0
1,0.625,0.515,0.16,1.264,0.5715,0.326,0.321,9.0
2,0.4,0.29,0.11,0.32899999999999996,0.188,0.0455,0.0825,6.0
2,0.365,0.27,0.085,0.19699999999999998,0.0815,0.0325,0.065,6.0
0,0.55,0.435,0.145,0.843,0.32799999999999996,0.1915,0.255,15.0
1,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,9.0
2,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6.0
2,0.455,0.375,0.12,0.4970000000000001,0.2355,0.1055,0.1295,6.0
2,0.425,0.34,0.105,0.389,0.2015,0.0905,0.08800000000000001,6.0
1,0.71,0.5,0.15,1.3165,0.6835,0.2815,0.28,10.0
1,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035,8.0
2,0.345,0.265,0.1,0.2455,0.111,0.0535,0.065,7.0
2,0.52,0.41,0.11,0.5185,0.2165,0.0915,0.184,8.0
2,0.375,0.275,0.09,0.23800000000000002,0.1075,0.0545,0.07,6.0
0,0.68,0.54,0.155,1.534,0.6709999999999999,0.379,0.384,10.0
2,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7.0
0,0.6,0.46,0.17,1.1805,0.456,0.337,0.32899999999999996,11.0
2,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,7.0
2,0.545,0.375,0.12,0.5429999999999999,0.2375,0.1155,0.1725,8.0
2,0.35,0.27,0.075,0.215,0.1,0.036000000000000004,0.065,6.0
2,0.52,0.395,0.125,0.6629999999999999,0.3005,0.131,0.1905,9.0
2,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7.0
0,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11.0
0,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11.0
0,0.575,0.45,0.185,0.925,0.342,0.19699999999999998,0.35,12.0
2,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3,13.0
1,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09,7.0
1,0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12.0
0,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8.0
2,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5.0
1,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7.0
1,0.615,0.455,0.145,1.1155,0.5045,0.23800000000000002,0.315,10.0
2,0.41,0.325,0.1,0.39399999999999996,0.20800000000000002,0.0655,0.106,6.0
1,0.67,0.55,0.155,1.5659999999999998,0.858,0.33899999999999997,0.354,10.0
2,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,9.0
2,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6.0
2,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052000000000000005,7.0
1,0.67,0.53,0.225,1.5615,0.63,0.48700000000000004,0.3725,11.0
0,0.625,0.495,0.175,1.254,0.5815,0.28600000000000003,0.3185,9.0
1,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15.0
0,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7.0
0,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15.0
2,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,9.0
2,0.475,0.35,0.11,0.4565,0.20600000000000002,0.099,0.13,6.0
1,0.595,0.47,0.25,1.2830000000000001,0.462,0.2475,0.445,14.0
0,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10.0
0,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8.0
2,0.52,0.38,0.125,0.5545,0.28800000000000003,0.1295,0.16699999999999998,8.0
0,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4,8.0
2,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10.0
1,0.64,0.525,0.215,1.7790000000000001,0.4535,0.2855,0.55,22.0
2,0.26,0.2,0.07,0.092,0.037000000000000005,0.02,0.03,6.0
